word,meaning
さわる、触る , to touch (sawaru)
しめる、締める ," to tie, to fasten (shimeru)"
なげる、投げる , to throw (nageru)
かたる、語る , to tell (kataru)
とる、取る、撮る、採る , to take (toru)
およぐ、泳ぐ , to swim (oyogu)
たつ、立つ , to stand (tatsu)
さす、刺す , to stab (sasu)
わかれる、分かれる ," to split intoin, to be divided (wakareru)"
はなす、話す , to speak (hanasu)
かぐ、嗅ぐ , to smell (kagu)
ねる、寝る , to sleep (neru)
すわる、座る , to sit (suwaru)
うたう、歌う , to sing (utau)
つかえる、仕える ," to serve, to work for (tsukaeru)"
うる、売る , to sell (uru)
みる、見る , to see (miru)
しかる、叱る , to scold (shikaru)
いう、言う , to say (iu)
はしる、走る , to run (hashiru)
かえる、帰る、返る , to return (kaeru)
やすむ、休む ," to rest, to take a break, to go to bed (yasumu)"
よむ、読む , to read (yomu)
さす、差す , to raise or extend one's hands (sasu)
おく、置く , to put (oku)
さす、指す , to point (sasu)
あそぶ、遊ぶ , to play (asobu)
わかれる、別れる ," to partin, to separatein, to break upin (wakareru)"
あける、開ける ," to opentr, to unwraptr (akeru)"
おこる、起こる、興る , to occur (okoru)
える、得る , to obtain [some benefit or knowledge] (eru)
いる、要る , to need (iru)
うごく、動く , to movein (ugoku)
あう、会う ," to meet, to interview (au)"
つくる、作る、造る、創る , to make (tsukuru)
いきる、生きる , to live (ikiru)
わらう、笑う , to laugh (warau)
しる、知る , to know (shiru)†
ける、蹴る , to kick (keru)
とぶ、飛ぶ ," to jump, to fly (tobu)"
ふえる、増える ," to increase, to multiply (fueru)"
ます、増す ," to increase, to grow (masu)"
もつ、持つ , to hold (motsu)
うつ、打つ ," to hit, to strike (utsu)"
なぐる、殴る ," to hit, to strike (naguru)"
きく、聞く、聴く ," to hear, to listen (kiku)"
かたまる、固まる ," to harden, to solidify, to become firm (katamaru)"
ふとる、太る , to grow fat (futoru)
ひえる、冷える ," to grow cold, to get chilly, to cool down (hieru)"
でかける、出掛ける ," to go out, to depart (dekakeru)"
いく、行く , to go (iku)
うむ、生む、産む , to give birth (umu)
つかれる、疲れる , to get tired (tsukareru)
あつまる、集まる , to gatherin (atsumaru)
なおす、直す、治す ," to fix, repair (naosu)"
おわる、終わる ," to finish, to close (owaru)"
むく、向く ," to face, to turn toward (muku)"
ある , to exist [for inanimate objects] (aru)
いる , to exist [for animate objects] (iru)
かえる、代える ," to exchange, to substitute, to replace (kaeru)"
すぐれる、優れる ," to excel, to surpass (sugureru)"
ほめる、褒める , to encourage (homeru)
たべる、食べる , to eat (taberu)
のむ、飲む , to drink (nomu)
やる , to do (yaru)
する , to do (suru)
みだす、乱す ," to disturb, to disarrange (midasu)"
すてる、捨てる ," to discard, throw away (suteru)"
しぬ、死ぬ , to die (shinu)
はずれる、外れる , to deviate (hazureru)
へる、減る , to decrease (heru)
きめる、決める , to decide (kimeru)
おどる、踊る , to dance (odoru)
きる、切る , to cut (kiru)†
なく、泣く , to cry (naku)
なぐさめる、慰める ," to console, to consolate, to provide empathy (nagusameru)"
しめる、占める ," to comprise, to account for (shimeru)"
くる、来る , to come (kuru)
しめる、閉める , to closetr (shimeru)
かえる、変える , to changetr (kaeru)
よろこぶ、喜ぶ ," to celebrate, to be jubilant, to have joy, to have delight, to have rapture (yorokobu)"
かう、買う , to buy (kau)
おる、折る ," to breaktr, to foldtr (oru)"
こわれる、壊れる , to breakin (kowareru)
かむ、噛む , to bite (kamu)
はじまる、始まる , to begin (hajimaru)
あく、空く , to become unoccupied (aku)
かわく、乾く , to become dry (kawaku)
なる , to become (naru)
かなしむ、悲しむ、哀しむ , to be sad (kanashimu)
そなわる、備わる , to be furnished with (sonawaru)
うまる、埋まる ," to be filled, to be surrounded, to overflow (umaru)"
みだれる、乱れる ," to be disturbed, to become confused (midareru)"
あきる、飽きる ," to be disinterested, to be bored, to be tired of, to be weary (akiru)"
こむ、込む , to be crowded (komu)
うもれる、埋もれる ," to be buried, to be covered (umoreru)"
おどろく、驚く ," to be astonished, to be surprised, to be scared (odoroku)"
おこる、怒る , to be angry (okoru)
あらわれる、現れる , to appear (arawareru)
に ," to <somewhere>, by <someone> (ni)"
まで , to (made)
へ ," to (e) [Note: へ is normally read he, but when used as this particle its reading changes to e]"
じかん、時間 , time (jikan)
とら、虎 , tiger (tora)
きっぷ、切符 ," ticket (public transport, fine) (kippu)"
もくようび、木曜日 , Thursday (moku-yōbi)
かみなり、雷 ," thunder, lightning (kaminari)"
みっつ、三つ ," three, three things (mittsu)"
さん、三 , three (san)
せん、千 , thousand (sen)
これ ," this, it (kore)"
こちら、こっち ," this direction, thing, person, or place (kochira, kocchi)"
この , this (kono)
だの ," things like <list of things>, including, such things as (dano)"
ほそい、細い , thin (hosoi)
もも、腿 , thigh (momo)
ふとい、太い , thick (futoi)
そこ , there (soko)
むこう、向こう ," the other side, opposite side (mukō)"
な , the copula particle used after quasi-adjectives (na)
あれ , that over there (are)
なぜなら ," that is because, being because (nazenara)"
あちら、あっち ," that direction, thing, person, or place over there (achira, acchi)"
そちら、そっち ," that direction, thing, person, or place (sochira, socchi)"
それ , that (sore)
その , that (sono)
あの , that (ano)
より , than (yori)
とお、十 ," ten, ten things (tō)"
まん、万 , ten thousand (man)
じゅう、十 , ten (jū)
せんせい、先生 , teacher (sensei)
ちゃ、茶 , tea (cha)
て , te form of verb or adjective [see explanation]
まずい、不味い , tastes awful (mazui)
システム , system (shisutemu)
あまい、甘い , sweet (amai)
にちようび、日曜日 , Sunday (nichi-yōbi)
たいよう、太陽 , sun (taiyō)
さとう、砂糖 , sugar (satō)
が ," subject marker, but (ga)"
べんきょう、勉強 , study (benkyō)
ひも、紐 ," string, cord (himo)"
みち、道 ," street, way, road (michi)"
あらし、嵐 , storm (arashi)
みせ、店 , store (mise)
おなか、御腹 , stomach (onaka)
くさい、臭い , stinky (kusai)
まだ ," still, yet (mada)"
くき、茎 , stem (kuki)
ゆげ、湯気 , steam (yuge)
ぶんぼうぐ、文房具 , stationery ​(bunbōgu)
えき、駅 , station (eki)
ほし、星 , star (hoshi)
ホッチキス , stapler (hotchikisu)
きって、切手 , stamp (kitte)
イカ、烏賊 , squid (ika)
スポーツ , sport (supōtsu)
クモ、蜘蛛 , spider (kumo)
すずめ、雀 , sparrow (suzume)
すぺいんご、スペイン語 , Spanish [language] (supeingo)
しょうゆ、醤油 , soy sauce (shōyu)
みなみ、南 , south (minami)
へいし、兵士 , soldier (heishi)
やわらかい、柔らかい , soft (yawarakai)
しゃかい、社会 , society (shakai)
ので , so (node)
ゆき、雪 , snow (yuki)
へび、蛇 , snake (hebi)
カタツムリ、蝸牛 , snail (katatsumuri)
おやつ、間食 ," snack (oyatsu, kanshoku)"
けむり、煙 ," smoke, tobacco, opium (kemuri)"
こぜに、小銭 , small change (kozeni)
ちいさい、小さい , small (chiisai)
ナメクジ、蛞蝓 , slug (namekuji)
そで、袖 , sleeve (sode)
そら、空 , sky (sora)
ひふ、皮膚 , skin (hifu)
はだ、肌、膚 , skin (hada)
むっつ、六つ ," six, six things (muttsu)"
ろく、六 , six (roku)
しまい、姉妹 , sisters (shimai)
かしゅ、歌手 , singer (kashu)
ぎん、銀 , silver [Ag]; wealth (gin)
えび、海老 ," shrimp, lobster (ebi)"
かた、肩 , shoulder (kata)
くつ、靴 , shoe (kutsu)
すね、脛 , shin (sune)
かい、貝 , shellfish (kai)
かいがら、貝殻 , shell (kaigara)
ひつじ、羊 , sheep (hitsuji)
ななつ、七つ ," seven, seven things (nanatsu)"
なな、しち、七 ," seven (nana, shichi)"
ひみつ、秘密 , secret (himitsu)
びょう、秒 , second (byō)
ちょうこく、彫刻 ," sculpture, engraving (chōkoku)"
はさみ、鋏 , scissors (hasami)
りか、理科 , science (rika)
がっこう、学校 , school (gakkō)
こわい、怖い、恐い , scary (kowai)
どようび、土曜日 , Saturday (do-yōbi)
いわし、鰯 , sardine (iwashi)
サンドイッチ , sandwich (sandoitchi)
しょっぱい、塩っぱい , salty (shoppai)
しお、塩 , salt [NaCl] (shio)
しお、塩 , salt (shio)
サラダ , salad (sarada)
って , said that (tte)
さみしい、寂しい、淋しい ," sad, lonely (samishii)"
かなしい、悲しい , sad (kanashii)
じょうぎ、定規 , ruler (jōgi)
なわ、縄 ," rope, string (nawa)"
ね、根 (ねっこ、根っ子) ," root (ne, nekko)"
ローマ字 ," Roman characters, Latin script (rōmaji)"
どうろ、道路 , road (dōro)
みぎ、右 , right (migi)
いね、稲 , rice growing in a field (ine)
いらい、依頼 , request (irai)
たい、鯛 , red snapper (tai)
あか、赤 , red (aka)
あめ、雨 , rain (ame)
てつどう、鉄道 , railway (tetsudō)
うさぎ、兎 , rabbit (usagi)
か , question marker (ka)
むらさき、紫 ," purple (murasaki, murasakiiro)"
の ," possession marker, of (no)"
の , possession (no)
せいじか、政治家 , politician (seijika)
けいさつかん、警察官 , police officer (keisatsukan)
ふくろ、袋 ," pocket, bag (fukuro)"
しょくぶつ、植物 , plants (shokubutsu)
ピンク , pink (pinku)
まつ、松 , pine tree (matsu)
さんま、秋刀魚 , pike (sanma)
ぶた、豚 , pig (buta)
え、絵 , picture (e)
たいいく、体育 , physical education (taiiku)
パソコン , personal computer (pasokon)
ひと、人 , person (hito)
えんぴつけずり、鉛筆削り , pencil sharpener (enpitsu-kezuri)
えんぴつ、鉛筆 , pencil (enpitsu)
ペン , pen (pen)
ナシ、梨 , pear (nashi)
モモ、桃 , peach (momo)
かこ、過去 , past (kako)
れる、られる ," passive verb ending [れる for u-verbs, られる for ru-verbs]: to be <verbed> [e.g., 食べられる, ""to be eaten""] (reru, rareru)"
っけ ," particle indicating that the speaker is trying to recall some information [""What class is next -kke?""] (-kke)"
りょうしん、両親 , parents (ryoushin)
かみ、紙 , paper (kami)
てのひら、掌、手の平 , palm of hand (te-no-hira)
つらい、辛い ," painful, heart-breaking (tsurai)"
いたい、痛い , painful (itai)
あそこ , over there (asoko)
オレンジ , orange (orenji)
または、又は , or alternatively (matawa)
それとも , or (soretomo)
だけ ," only, as much as (dake)"
しか , only (shika)
つつ ," ongoing occurrence (tsutsu) [similar to ながら but has different tone, and both actions have equal weight]"
ひとつ、一つ ," one, one thing (hitotsu)"
いっしゅうかん、一週間 , one week (isshūkan)
おく、億 , one hundred million (oku)
いち、一 , one (ichi)
あね、姉 , older sister (ane) (onē-san)
あに、兄 , older brother (ani) (onī-san)
ふるい、古い , old (furui)
しばしば , often (shibashiba)
たこやき、たこ焼き , octopus dumpling (takoyaki)
タコ、蛸、章魚 , octopus (tako)
かんごし、看護師 , nurse (kangoshi)
すうじ、数字 , numbers (sūji)
いま、今 , now (ima)
げんざい、現在 , now (genzai)
ノート , notebook (nōto)
はな、鼻 , nose (hana)
きた、北 , north (kita)
いいえ , no (iie)
ここのつ、九つ ," nine, nine things (kokonotsu)"
きゅう、く、九 ," nine (kyū, ku)"
めい、姪 , niece (mei)
しんぶん、新聞 , newspaper (shinbun)
あたらしい、新しい , new (atarashii)
おい、甥 , nephew (oi)
くび、首 , neck (kubi)
ひつよう、必要 , necessity (hitsuyō)
てまえ、手前 ," nearer, more in front (temae)"
ちかい、近い ," near, close (chikai)"
くぎ、釘 ," nail, spike (kugi)"
つめ、爪 , nail (tsume)
おんがく、音楽 , music (ongaku)
きのこ、茸 , mushroom (kinoko)
きんにく、筋肉 , muscle (kin'niku)
どろ、泥 ," mud, mire, clay, plaster (doro)"
くち、口 , mouth (kuchi)
ひげ、髭、鬚、髯 ," moustache, beard (hige)"
ねずみ、鼠 ," mouse, rat (nezumi)"
はは、母 ," mother (haha)(""okaa-san"")"
ガ、蛾 , moth (ga)
カ、蚊 ," mosquito, gnat (ka)"
あさ、朝 , morning (asa)
つき、月 , moon (tsuki)
つき、がつ、月 ," month (tsuki, gatsu)"
ばけもの、化け物 , monster (bakemono)
さる、猿 , monkey (saru)
かね、金 ," money (kane, most commonly o-kane)"
げつようび、月曜日 , Monday (getsu-yōbi)
みそ、味噌 , miso (miso)
ふん、分 , minute (fun)
ミリ , milli- (miri)
ぎゅうにゅう、牛乳 , milk (gyūnyū)
かも ," might be, possible that (kamo)"
メートル , meter (mētoru)
きんぞく、金属 ," metal, metallic (kinzoku)"
かいぎ、会議 , meeting (kaigi)
にく、肉 , meat (niku)
けっこん、結婚 , marriage (kekkon)
ミカン、蜜柑 , mandarin orange (mikan)
おとこのひと、男の人 , man (otokonohito)
おとこ、男 , male (otoko)
さば、鯖 , mackerel (saba)
ひるごはん、昼御飯 , lunch (hirugohan)
ひくい、低い , low (hikui)
さびしい、寂しい、淋しい , lonely (sabishii)
やくしょ、役所 , local government office (yakusho)
トカゲ、蜥蜴 , lizard (tokage)
いきもの、生き物 , living creatures (ikimono)
きも、肝 , liver (kimo)
かんぞう、肝臓 , liver (kanzō)
リットル , litre (rittoru)
くちびる、唇 , lips (kuchibiru)
しし、獅子 , lion (shishi)
こう , like this (kō)
そう , like that (sō)
かるい、軽い ," light, easy (karui)"
もじ、文字 ," letter, character, script (moji)"
てがみ、手紙 , letter (tegami)
ひだり、左 , left (hidari)
かばん、鞄 , leather bag (kaban)
は、葉 (はっぱ、葉っぱ) ," leaf (ha, happa)"
なまり、鉛 , lead [Pb] (namari)
べんごし、弁護士 , lawyer (bengoshi)
えり、襟 ," lapel, collar (eri)"
ちょうせんご、朝鮮語、かんこくご、韓国語 ," Korean [language], South Korean [language] (chōsengo, kankokugo)"
ひざ、膝 , knee (hiza)
きもの、着物 , kimono (kimono)
キロ , kilo- (kiro)
カタカナ、片仮名 , katakana syllabary characters (katakana)
ばかり、ばっかり ," just, full of, only (bakari)"
よろこび、喜び ," joy, delight, rapture (yorokobi)"
だいこん、大根 , Japanese white radish (daikon)
うめ、梅 , japanese plum or apricot (ume)
わふく、和服 , Japanese clothing (wafuku)
にほんご、日本語 （こくご、国語） , Japanese [language] (nihongo)
かゆい、痒い , itchy (kayui)
てつ、鉄 , iron [Fe] (tetsu)
むし、虫 , insect (mushi)
インク , ink (inku)
じょうほう、情報 ," information, news (jōhō)"
た , informal past-tense (ta)
ない、ん ," informal negative (nai, n) [ん is a slurred version and sounds a little masculine]"
に , indirect object marker (ni)
だろう , indicates that it seems the verb occurs; also used to ask whether the verb occurs (darō)
そうだ ," indicates that it seems the verb occurs [e.g., ""It seems he ate""] (sōda)"
たい , indicates desire to perform verb (tai)
インチ , inch (inchi)
ああ , in that other way (ā)
びょうき、病気 , illness (byōki)
なら , if [for verbs]; subject marker [for nouns] (nara)
アイスクリーム , ice cream (aisukurīmu)
こおり、氷 , ice (kōri)
わたし、私 ," I, myself (watashi)"
わたくし、私 ," I, myself (watakushi [most formal])"
おれ、俺 ," I, myself (ore, mainly used by males [informal])"
ぼく、僕 ," I, myself (boku, mainly used by males)"
あたし、私 ," I, myself (atashi, mainly used by females [softer sounding])"
かしら , I wonder (kashira)
おっと、夫 , husband (otto)
ひゃく、百 , hundred (hyaku)
じんるい、人類 , humanity (jinrui)
にんげん、人間 , human (ningen)
だって , however (datte)
どう , how (dō)
ハエ、蝿、蠅 , housefly (hae)
いえ、家 ," house, home (ie)"
ホテル , hotel (hoteru)
ゆ、湯 , hot water (yu)
からい、辛い , hot [spicy] (karai)
あつい、熱い、暑い , hot (atsui)
あじ、鰺 , horse mackerel (aji)
うま、馬 , horse (uma)
れきし、歴史 , history (rekishi)
ひらがな、平仮名 , hiragana syllabary characters (hiragana)
ここ , here (koko)
かかと、踵 , heel (kakato)
おもい、重い , heavy (omoi)
こころ、心 , heart [as in feelings] (kokoro)
しんぞう、心臓 , heart (shinzō)
あたま、頭 , head (atama)
たか、鷹 ," hawk, falcon (taka)"
かたい、硬い、堅い , hard (katai)
うれしい、嬉しい , happy (ureshii)
て、手 , hand (te)
かみ、髪 , hair (kami)
はいいろ、灰色、ねずみいろ、鼠色 ," grey (haiiro, nezumiiro)"
おちゃ、お茶 , green tea (ocha)
みどり、緑 , green (midori)
バッタ、飛蝗 , grasshopper (batta)
くさ、草 , grass (kusa)
そぼ、祖母 , grandmother (sobo) (obaa-san)
そふ、祖父 , grandfather (sofu) (ojii-san)
まご、孫 , grandchild (mago)
グラム , gram (guramu)
いい、よい、良い ," good (ii, yoi)"
きん、金 , gold [Au]; money (kin)
めがね、眼鏡 , glasses (megane)
しょうじょ、少女 , girl (shoujo)
おんなのこ、女の子 , girl (onnanoko)
キリン、麒麟 , giraffe (kirin)
どいつご、ドイツ語 , German [language] (doitsugo)
ちり、地理 , geography (chiri)
ガス , gas (gasu)
みらい、未来 , future (mirai)
ふとん、布団 , futon (futon)
たのしい、楽しい , fun (tanoshii)
くだもの、果物 , fruit for eating (kudamono)
み、実 , fruit (mi)
まえ、前 , front (mae)
から , from (kara)
かえる、蛙 , frog (kaeru)
きんようび、金曜日 , Friday (kin-yōbi)
ふらんすご、フランス語 , French [language] (furansugo)
よっつ、四つ ," four, four things (yottsu)"
よん、し、四 ," four (yon, shi)"
まんねんひつ、万年筆 , fountain pen (mannenhitsu)
せいしき、正式 , formality (seishiki)
ます , formal non-past ending (masu)
がいこくご、外国語 , foreign language (gaikokugo)
など , for example (nado)
あし、足、脚 ," foot, leg (ashi)"
たべもの、食べ物 , food (tabemono)
はな、花 , flower (hana)
いつつ、五つ ," five, five things (itsutsu)"
ご、五 , five (go)
さかな、魚 , fish (sakana)
ホタル、蛍 , firefly (hotaru)
しょうぼうし、消防士 , firefighter (shouboushi)
ひ、火 , fire (hi)
ゆび、指 ," finger, toe (yubi)"
かんごふ、看護婦 , female nurse (kangofu)
おんな、女 , female (onna)
ちち、父 ," father (chichi)(""otou-san"")"
とおい、遠い , far (tooi)
かぞく、家族 , family (kazoku)
こうじょう、工場 , factory (kōjō)
かお、顔 , face (kao)
め、目 , eye (me)
たかい、高い ," expensive, high (takai)"
よる、夜 ," evening, night (yoru)"
ゆうがた、夕方 , evening (yūgata)
ばん、晩 , evening (ban)
すら , even (sura)
さえ , even (sae)
エスカレーター , escalator (esukarētā)
けしゴム、消しゴム , eraser (keshigomu)
ふうとう、封筒 , envelope (fūtō)
げんかん、玄関 , entrance (genkan)
えいご、英語 , English [language] (eigo)
エンジニア , engineer(enjinia)
ね ," emphasis and question marker, equivalent to ""right?"" (ne)"
こそ , emphasis (koso)
エレベーター , elevator (erebētā)
ぞう、象 , elephant (zō)
でんき、電気 , electricity (denki)
ひじ、肘 , elbow (hiji)
やっつ、八つ ," eight, eight things (yattsu)"
はち、八 , eight (hachi)
けいざい、経済 ," economy, economics (keizai)"
やさしい、易しい ," easy, simple (yasashii)"
ひがし、東 , east (higashi)
ミミズ、蚯蚓 , earthworm (mimizu)
つち、土 ," earth, ground (tsuchi)"
みみ、耳 , ear (mimi)
わし、鷲 , eagle (washi)
のみもの、飲み物 , drink/beverage (nomimono)
トンボ、蜻蛉 , dragonfly (tonbo)
りゅう、たつ、竜 ," dragon (ryū, tatsu)"
と、戸 ," door, family (to)"
とびら、扉 , door panel (tobira)
かぎ、鍵 ," door bolt, key (kagi)"
ドア , door (doa)
いぬ、犬 , dog (inu)
いしゃ、医者 , doctor (isha)
を , direct object marker (o)
ばんごはん、晩御飯 , dinner (bangohan)
むずかしい、難しい , difficult (muzukashii)
じしょ、辞書 , dictionary (jisho)
にっき、日記 , diary (nikki)
げり、下痢 , diarrhea (geri)
ななめ、斜め , diagonal (naname)
デザート , dessert (dezāto)
つくえ、机 , desk (tsukue)
しかい、歯科医、はいしゃ、歯医者 ," dentist (shikai, ha-isha)"
うまい、美味い、旨い ," delicious, appetizing (umai)"
おいしい、美味しい , delicious (oishii)
しか、鹿 , deer (shika)
ひ、にち、日 ," day (hi, nichi)"
からす、烏 ," crow, raven (karasu)"
うし、牛 , cow (ushi)
いとこ、従兄弟、従姉妹、従兄、従弟、従姉、従妹 , cousin (itoko)
どう、銅 , copper [Cu] (dō)
りょうり、料理 , cooking (ryōri)
ごはん、御飯 , cooked rice or meal (gohan)
ないよう、内容 , content (naiyō)
かいしゃ、会社 , company (kaisha)
いろ、色 ," color (iro, shikisai)"
かぜ、風邪 , cold [illness] (kaze)
つめたい、冷たい , cold (tsumetai)
さむい、寒い , cold (samui) as in cold weather
コーヒー、珈琲 , coffee (kōhī)
ゴキブリ、蜚蠊 , cockroach (gokiburi)
くもり、曇り , cloudy (kumori)
ふく、服 , clothes (fuku)
はれ、晴れ , clear weather (hare)
せみ、蝉 , cicada (semi)
きく、菊 , chrysanthemum (kiku)
かんじ、漢字 , Chinese character (kanji)
ちゅうごくご、中国語 , Chinese [language] (chūgokugo)
こども、子供 ," children, child (kodomo)"
にわとり、鶏 , chicken (niwatori)
クリ、栗 , chestnut tree (kuri)
むね、胸 , chest (mune)
さくら、桜 , cherry blossom (sakura)
チーター , cheetah (chītā)
やすい、安い , cheap (yasui)
つりせん、釣り銭、おつり、お釣り ," change (tsurisen), change (o-tsuri)"
チョーク , chalk (chōku)
いす、椅子 ," chair, position (isu)"
センチメートル、センチ , centimeter (senchi)
せる、させる ," causative ending [せる for u-verbs, させる for ru-verbs]: to make [someone do something], to allow (seru, saseru)"
ねこ、猫 , cat (neko)
なんて ," casual undervalue, dislike, lack (nante)"
なんか ," casual undervalue, dislike, lack (nanka)"
ったら , casual topic marker (ttara) [colloquial form of to ittara (if you refer to ~; as for ~)
にんじん、人参 , carrot (ninjin)
くるま、車 (じどうしゃ、自動車) ," car (kuruma, jidōsha)"
こよみ、カレンダー、暦 ," calendar (koyomi, karendā)"
ボタン , button (botan)
しり、尻 , buttocks (shiri)
ちょう、蝶 , butterfly (chō)
しかし ," but, however (shikashi)"
でも , but (demo)
バスてい、バス停 , bus-stop (basutei)
ふで、筆 , brush for writing or painting (fude)
ちゃいろ、茶色 , brown (chairo)
きょうだい、兄弟 ," brothers, siblings (kyōdai)"
ちょうしょく、朝食 ," breakfast (chōshoku, asagohan)"
パン , bread (pan)
しょうねん、少年 , boy (shounen)
おとこのこ、男の子 , boy (otokonoko)
ほん、本 , book (hon)
かつお、鰹 , bonito (katsuo)
ほね、骨 , bone (hone)
あお、青 , blue (ao)
ち、血 , blood (chi)
くろ、黒 , black (kuro)
にがい、苦い , bitter (nigai)
とり、鳥 , bird (tori)
さつ、札 ," bill [of money, e.g., a thousand-yen bill] (satsu)"
おおきい、大きい , big (ōkii)
じてんしゃ、自転車 , bicycle (Jitensha)
それに , besides (soreni)
ベルト , belt (beruto)
した、下 ," below, down (shita)"
うしろ、後 , behind (ushiro)
ビール , beer (bīru)
うつくしい、美しい , beautiful (utsukushii)
くま、熊 , bear(kuma)
まめ、豆 ," beans, peas (mame)"
バナナ、かんしょう、甘蕉 ," banana (banana, kanshō)"
ボールペン , ball-point pen (bōrupen)
わるい、悪い ," bad, inferior (warui)"
せなか、背中 , back (senaka)
あかちゃん、赤ちゃん , baby (akachan)
とおり、通り , avenue (tōri)
じどう、自動 , automatic (jidō)
おば、伯母、叔母 , aunt (oba) (oba-san)
で ," at, by (de)"
ならびに , as well as (narabini)
うで、腕 , arm (ude)
さんすう、算数 , arithmetic (sansū)
けんちくか、建築家 , architect (kenchikuka)
ぬ ," archaic informal negative [""he hath"", ""thou didst"", etc.] (nu)"
くらい、ぐらい ," approximately, about (kurai)"
リンゴ、林檎 , apple (ringo)
どうぶつ、動物 , animal (dōbutsu)
および、及び , and; as well as (oyobi)
と ," and, with (to)"
そして ," and then, Then… (soshite)"
や , and (ya)
すごい、凄い , amazing (sugoi)
ずっと , always (zutto)
も ," also, too (mo)"
でも ," also, or (demo)"
また、又 ," also, again (mata)"
もう , already (mō)
アルファベット , alphabet (arufabetto)
くうこう、空港 （ひこうじょう、飛行場） ," airport (kūkō, hikōjō)"
ひこうき、飛行機 , airplane (hikōki)
くうき、空気 ," air, atmosphere (kūki)"
ひる、昼 , afternoon (hiru)
うえ、上 ," above, up (ue)"
おなか、お腹 （はら、腹） , abdomen (o-naka)
たたみ、畳 , a tatami mat (tatami)
じ、字 ," a letter, character (ji)"
とき、じ、時 ," ~hours (toki, ji)"
ようび、曜日 , ~day (yōbi)
どころ , (particle used to indicate that what precedes it is an extreme example and strongly negates it) (dokoro)
きょうし、教師 , (academic) teacher (kyoushi)
さ , -ness (sa)
